docdb_family_id,person_ctry_code,inventor_count
78789715,NO,2
78805909,NO,6
78806108,GB,1
78806108,NO,1
78806113,CH,1
78806113,NO,1
78806135,NO,1
78806160,NO,2
78821899,FR,3
78821899,NO,2
78821953,DE,6
78827798,CH,3
78827798,NO,2
78828452,NO,1
78828491,NO,2
78828508,AT,1
78828508,DE,1
78828508,NO,3
78829376,NL,3
78829634,NO,1
78830494,NO,1
78844779,BE,2
78844779,FI,2
78844779,NO,1
78845056,NO,4
78845442,DE,5
78845442,NO,1
78916582,NL,1
78916886,DK,1
78916886,NO,1
78916886,SK,2
78918687,NO,1
79021166,NO,2
79024141,NO,3
79024688,NO,3
79025202,NO,2
79031502,GB,1
79031502,NO,2
79163444,NO,2
79163596,NO,2
79163604,NO,2
79163870,NO,3
79164762,US,3
79185385,NL,1
79185385,NO,1
79185385,US,1
79230963,NO,1
79268177,NO,3
79269732,NO,2
79270256,NO,2
79270300,GB,1
79270300,NO,1
79281583,NO,1
79281589,NO,4
79281590,NO,2
79315553,GB,1
79315553,US,1
79316739,FR,2
79316739,IT,1
79316739,NO,1
79316746,BE,1
79316746,NL,1
79316746,NO,2
79317178,NO,1
79553514,NO,5
79581195,NO,1
79601546,BE,1
79601546,NL,1
79601546,NO,2
79687188,NO,3
79730606,NO,2
79730659,NO,1
79730672,NO,2
79731034,NO,4
79831506,FR,1
80034802,NO,4
80035224,NO,2
80038577,NO,2
80038616,NO,1
80038671,DE,1
80038672,DE,1
80050700,NO,2
80079945,NO,1
80079967,NO,1
80080023,NO,1
80080037,NO,1
80080041,NO,2
80080124,GB,1
80080124,NO,1
80080166,NO,2
80080167,NO,2
80080964,NO,2
80111909,NO,2
80113506,NO,1
80119235,NO,3
80121674,NO,1
80121700,NO,2
80121901,NO,4
80121903,NO,4
80122004,US,1
80122253,NO,2
80122693,NZ,1
80122851,NZ,1
80122911,NO,2
80168262,AT,1
80168262,NO,2
80218453,NO,2
80220033,NL,3
80222073,BE,2
80222294,NO,2
80222521,NO,1
80223192,NO,4
80225387,FI,1
