docdb_family_id,person_ctry_code,combined_count
78513390,NO,2
78513390,US,2
78516554,NO,2
78516659,CH,1
78516659,NO,7
78617355,FR,3
78617355,NO,1
78617355,SE,1
78617356,FR,1
78617356,NO,1
78649093,DE,2
78649093,NO,1
78649209,CH,1
78649209,LI,1
78649209,NO,2
78705808,NO,2
78705808,US,1
78705841,NO,2
78705841,US,1
78708861,CA,1
78708861,FR,4
78708861,NO,1
78708861,US,1
78709263,BE,1
78709263,NO,2
78718372,NO,5
78718395,NO,3
78718412,GB,1
78718412,NO,2
78718558,GB,1
78718558,NO,2
78789715,JP,2
78789715,NL,1
78789715,NO,2
78805909,NO,7
78806108,GB,2
78806108,NO,2
78806113,CH,1
78806113,NO,2
78806135,NO,2
78806160,NO,3
78821899,FR,7
78821899,NO,3
78821953,DE,6
78821953,NO,1
78827798,CH,4
78827798,NO,2
78828452,NO,2
78828491,NO,3
78828508,AT,1
78828508,DE,1
78828508,NO,4
78829376,NL,4
78829376,NO,1
78829634,NO,2
78830494,NO,2
78844779,BE,2
78844779,FI,2
78844779,NO,2
78845056,CH,1
78845056,NO,4
78845442,DE,5
78845442,FI,1
78845442,NO,1
78916582,NL,1
78916582,NO,1
78916886,DK,1
78916886,NO,1
78916886,SK,3
78918687,NO,2
79021166,NO,3
79024141,NO,4
79024688,NO,4
79025202,NO,3
79031502,GB,1
79031502,NO,2
79031502,US,1
79163444,NO,3
79163596,NO,3
79163604,NO,3
79163870,NO,4
79164762,US,4
79185385,NL,1
79185385,NO,1
79185385,US,2
79230963,NO,2
79268177,NO,4
79269732,NO,3
79270256,GB,1
79270256,NO,2
79270300,GB,2
79270300,NO,1
79281583,NO,2
79281589,NO,6
79281590,NO,3
79315553,GB,2
79315553,NO,1
79315553,US,2
79316739,FR,3
79316739,IT,1
79316739,NO,1
79316746,BE,1
79316746,NL,1
79316746,NO,3
79317178,NO,2
79553514,NO,6
79581195,CN,1
79581195,NO,1
79601546,BE,1
79601546,NL,1
79601546,NO,3
79687188,NO,4
79730606,NO,3
79730659,NO,2
79730672,NO,3
79731034,NO,5
79831506,FR,1
79831506,NO,1
80034802,CH,1
80034802,NO,4
80035224,NO,3
80038577,NO,3
80038616,NO,2
80038671,DE,1
80038671,NO,1
80038672,DE,1
80038672,NO,1
80050700,NO,3
80079945,NO,2
80079967,NO,2
80080023,NO,2
80080037,NO,2
80080041,NO,3
80080124,GB,1
80080124,NO,2
80080166,NO,3
80080167,NO,3
80080964,NO,3
80111909,NO,3
80113506,NO,2
80119235,NO,3
80119235,US,1
80121674,NO,2
80121700,NO,3
80121901,CH,1
80121901,NO,4
80121903,NO,5
80122004,NO,1
80122004,US,1
80122253,DK,1
80122253,NO,2
80122693,NO,1
80122693,NZ,1
80122851,NZ,1
80122851,US,1
80122911,NO,3
80168262,AT,1
80168262,NO,3
80218453,NO,3
80220033,NL,4
80222073,BE,2
80222073,NO,1
80222294,NO,3
80222521,NO,2
80223192,NO,4
80223192,US,1
80225387,FI,1
80225387,NO,1
80262672,NO,2
80444018,NO,4
80444549,NO,2
80444549,US,2
80445993,NO,2
80446150,DE,2
80446150,NO,2
80446273,GB,1
80446273,NO,4
80446273,US,1
80446306,NO,1
80446306,US,8
80446439,NO,5
80446766,NO,4
80446976,NO,3
80447263,NO,3
80447825,NO,2
80448580,CH,1
80448580,NO,2
80448705,AE,1
80448705,DE,1
80448705,NO,2
80448973,NO,2
80449136,GB,5
80449136,NZ,1
80449136,SE,2
80449136,US,1
80461007,NO,4
80461111,NO,2
80461111,US,1
80461563,NO,4
80461563,US,1
80461592,NO,1
80461592,US,1
80461811,AE,2
80461811,CA,1
80461811,IN,1
80461811,NO,1
80595313,NO,2
80595314,DK,1
80595314,NO,3
80595389,NO,2
80621259,GB,2
80621259,NO,4
80623562,NO,1
80623562,US,3
80623632,NO,3
80623703,FR,1
80623703,NO,2
80623882,GB,1
80623882,NO,3
80623940,NO,2
80624064,NO,2
80624076,NO,3
80625048,NL,1
80625048,NO,5
80625087,NO,2
80625103,FR,1
80625103,NO,2
80625143,NO,3
80625357,NL,1
80625357,NO,2
80625417,NO,4
80625449,NO,2
80625517,NO,2
80625551,NO,2
80628538,BE,1
